Movie_ID;Cells_polarized;Cells_Other;Cells_unpolarized;Imaging_ID;Original_Name;Genotype;Culture
59.tif;10;4;16;171121_Imaging_1;series_02.tif;WT;A
73.tif;11;4;2;171121_Imaging_1;series_01.tif;WT;A
99.tif;23;4;6;171121_Imaging_1;series_03.tif;WT;A
9.tif;15;11;7;171121_Imaging_1;series_05.tif;WT;B
17.tif;19;4;14;171121_Imaging_1;series_04.tif;WT;B
50.tif;18;7;13;171121_Imaging_1;series_06.tif;WT;B
0.tif;21;3;13;171121_Imaging_1;series_09.tif;KO;A
15.tif;32;5;5;171121_Imaging_1;series_07.tif;KO;A
98.tif;18;1;15;171121_Imaging_1;series_08.tif;KO;A
14.tif;18;1;14;171121_Imaging_1;series_11.tif;KO;B
19.tif;11;3;10;171121_Imaging_1;series_12.tif;KO;B
61.tif;17;7;18;171121_Imaging_1;series_10.tif;KO;B
1.tif;12;1;5;180221_Imaging_2;series_04.tif;WT;D
119.tif;15;1;6;180221_Imaging_2;series_05.tif;WT;D
146.tif;10;2;9;180221_Imaging_2;series_06.tif;WT;D
0.tif;14;1;11;180221_Imaging_2;series_07.tif;WT;C
23.tif;9;8;15;180221_Imaging_2;series_08.tif;WT;C
77.tif;17;5;13;180221_Imaging_2;series_09.tif;WT;C
14.tif;16;8;14;180221_Imaging_2;series_02.tif;KO;C
15.tif;18;15;16;180221_Imaging_2;series_03.tif;KO;C
81.tif;19;6;8;180221_Imaging_2;series_01.tif;KO;C
37.tif;13;5;7;180221_Imaging_2;series_10.tif;KO;D
61.tif;10;6;11;180221_Imaging_2;series_11.tif;KO;D
89.tif;12;3;15;180221_Imaging_2;series_12.tif;KO;D
20.tif;28;12;6;180709_Imaging_3;series_01.tif;WT;E
46.tif;25;15;9;180709_Imaging_3;series_03.tif;WT;E
77.tif;20;19;8;180709_Imaging_3;series_02.tif;WT;E
7.tif;17;5;15;180709_Imaging_3;series_04.tif;WT;F
84.tif;20;6;15;180709_Imaging_3;series_06.tif;WT;F
33.tif;20;10;10;180709_Imaging_3;series_05.tif;WT;F
87.tif;21;18;9;180709_Imaging_3;series_07.tif;KO;E
11.tif;18;13;17;180709_Imaging_3;series_08.tif;KO;E
64.tif;22;16;11;180709_Imaging_3;series_09.tif;KO;E
16.tif;21;6;5;180709_Imaging_3;series_10.tif;KO;F
56.tif;18;17;12;180709_Imaging_3;series_11.tif;KO;F
57.tif;19;8;7;180709_Imaging_3;series_12.tif;KO;F
